Date,TWII_Close,TWII_High,TWII_Low,TWII_Open,TWII_Volume,SMA_200,BB_upper_20_2_0,BB_middle_20_2_0,BB_lower_20_2_0,ATR_14,RET_SIMPLE,RET_LOG,signal,signal_reason,signal_generated_at,signal_exec_when,Margin_Balance_Value,RSI_14,Foreign_Investor_Buy,USDTWD_Close
1990-01-02,359.69000244140625,359.69000244140625,351.9800109863281,353.3999938964844,162070000,,,,,,,,1,Buy and Hold Strategy,1990-01-02,1990-01-03,0,,318,30.121753806331398
1990-01-03,358.760009765625,360.5899963378906,357.8900146484375,359.69000244140625,192330000,,,,,,-0.00258553940745887,-0.0025888876871238797,1,Buy and Hold Strategy,1990-01-03,1990-01-04,0,0.0,35,30.140973824329635
1990-01-04,355.6700134277344,358.760009765625,352.8900146484375,358.760009765625,177000000,,,,,,-0.00861298989234971,-0.00865029605599334,1,Buy and Hold Strategy,1990-01-04,1990-01-05,0,0.0,-176,30.105081193449447
1990-01-05,352.20001220703125,355.6700134277344,351.3500061035156,355.6700134277344,158530000,,,,,,-0.009756237775744192,-0.009804141692825745,1,Buy and Hold Strategy,1990-01-05,1990-01-06,0,0.0,-287,30.158741379916847
1990-01-08,353.7900085449219,354.239990234375,350.5400085449219,352.20001220703125,140110000,,,,,,0.00451446985457804,0.004504310201034913,1,Buy and Hold Strategy,1990-01-08,1990-01-09,0,19.340484527722666,-916,30.017233803425277
1990-01-09,349.6199951171875,354.1700134277344,349.6099853515625,353.8299865722656,155210000,,,,,,-0.011786690768585961,-0.011856704505531489,1,Buy and Hold Strategy,1990-01-09,1990-01-10,0,12.507973765094548,-389,30.098618486592727
1990-01-10,347.30999755859375,349.6199951171875,344.32000732421875,349.6199951171875,175990000,,,,,,-0.006607166611908077,-0.006629090560707917,1,Buy and Hold Strategy,1990-01-10,1990-01-11,0,10.330747884012112,-733,30.063521166963927
1990-01-11,348.5299987792969,350.1400146484375,347.30999755859375,347.30999755859375,154390000,,,,,,0.003512715525838761,0.0035065603506973385,1,Buy and Hold Strategy,1990-01-11,1990-01-12,0,18.40857361891564,-372,30.065056197511794
1990-01-12,339.92999267578125,348.5299987792969,339.489990234375,348.5299987792969,183880000,,,,,,-0.024675081438144675,-0.024984613692642398,1,Buy and Hold Strategy,1990-01-12,1990-01-13,0,10.932295263122768,-903,30.12363475734177
1990-01-15,337.0,339.94000244140625,336.57000732421875,339.92999267578125,140590000,,,,,,-0.008619400285092893,-0.00865676216196708,1,Buy and Hold Strategy,1990-01-15,1990-01-16,0,9.514527752775223,919,30.05600293120656
1990-01-16,340.75,340.75,333.3699951171875,337.0,186070000,,,,,,0.011127596439169052,0.011066140224280183,1,Buy and Hold Strategy,1990-01-16,1990-01-17,0,23.235999159281775,-303,30.02587242962192
1990-01-17,337.3999938964844,342.010009765625,336.260009765625,340.7699890136719,170470000,,,,,,-0.00983127249747795,-0.009879918554624889,1,Buy and Hold Strategy,1990-01-17,1990-01-18,0,20.277715188055723,550,30.01608741528153
